Media Time (seconds),Arousal (%)
0.0,36.0
0.0,36.5
0.0,36.5
0.0,36.5
0.0,36.5
0.0,36.5
0.0,36.5
0.0,37.0
0.0,37.0
0.0,37.0
0.0,37.0
0.0,36.5
0.0,36.0
0.0,36.0
0.0,36.5
0.009726,36.5
0.042415,35.5
0.072553,36.0
0.105783,36.0
0.138144,36.5
0.188313,36.5
0.226715,37.5
0.258802,37.5
0.287636,37.5
0.316007,37.0
0.343415,37.0
0.371871,37.0
0.399693,37.0
0.427913,36.5
0.457002,36.5
0.488806,36.5
0.523803,36.5
0.575882,36.5
0.621456,36.5
0.657277,37.0
0.693413,37.5
0.727207,37.5
0.765923,37.0
0.801659,37.0
0.835119,37.5
0.867589,37.0
0.901484,37.0
0.935413,37.0
0.975231,37.0
1.011368,36.5
1.049097,36.5
1.082054,36.5
1.117012,37.0
1.152556,37.0
1.18748,37.0
1.220141,36.5
1.255125,36.5
1.290773,36.5
1.325486,36.5
1.360004,36.0
1.391989,36.0
1.427104,36.5
1.455735,36.5
1.483177,36.5
1.511957,36.5
1.539626,36.0
1.568882,36.5
1.595844,36.5
1.623946,36.5
1.654082,36.5
1.686725,36.5
1.717354,36.5
1.74505,36.5
1.770393,36.5
1.795416,36.5
1.825007,36.0
1.852226,36.0
1.879434,36.0
1.915569,35.5
1.94763,35.5
1.982881,35.5
2.016357,35.0
2.052073,34.5
2.086024,34.5
2.121939,34.0
2.158532,33.5
2.20271,32.5
2.241777,32.0
2.270725,31.5
2.30461,31.5
2.333079,31.0
2.362217,30.5
2.394773,30.5
2.423332,30.0
2.454559,29.500000000000004
2.483433,29.500000000000004
2.512314,29.000000000000004
2.541551,29.000000000000004
2.569204,29.000000000000004
2.597147,29.000000000000004
2.627129,29.000000000000004
2.65586,29.000000000000004
2.685837,29.000000000000004
2.714612,29.500000000000004
2.742321,29.500000000000004
2.770992,29.500000000000004
2.800103,30.0
2.830332,30.0
2.859309,30.5
2.890055,30.5
2.921081,30.5
2.94984,31.0
2.979894,31.0
3.011306,31.5
3.043185,32.0
3.073216,32.0
3.103504,32.5
3.133971,32.5
3.162491,32.99999999999999
3.195925,33.5
3.226522,33.5
3.260006,34.0
3.291469,34.0
3.322683,34.5
3.354156,34.5
3.384188,35.0
3.413492,35.5
3.442374,35.5
3.471829,35.5
3.497617,35.5
3.527451,35.5
3.558538,35.5
3.589154,35.5
3.619455,35.5
3.651116,35.5
3.681215,35.5
3.714049,35.5
3.7475,35.5
3.786619,36.0
3.815706,36.0
3.844933,36.0
3.874632,36.0
3.906458,36.0
3.936241,36.0
3.967327,36.0
3.998285,36.0
4.030866,36.0
4.060383,36.0
4.092169,36.0
4.124629,36.0
4.157372,36.5
4.187658,36.5
4.216395,36.5
4.244694,36.5
4.274079,37.0
4.302826,37.0
4.334074,37.0
4.362764,37.0
4.393789,37.0
4.425384,37.0
4.455226,37.0
4.49963,37.0
4.543952,36.5
4.597098,36.5
4.65729,36.5
4.720012,36.5
4.774016,36.5
4.828655,36.5
4.893861,36.0
4.944373,36.5
4.987004,36.5
5.033518,36.5
5.077763,36.5
5.122089,36.5
5.166538,36.5
5.205221,37.0
5.24495,37.0
5.281707,37.0
5.319735,37.0
5.361982,37.5
5.403293,37.0
5.439472,37.0
5.475867,37.0
5.503107,37.5
5.531924,37.5
5.56102,37.5
5.589237,37.5
5.6163,37.5
