Media Time (seconds),Attention (%),Valence (%),Arousal (%)
0.0,100.0,32.5,41.5
0.0,99.0,37.0,40.5
0.0,99.0,37.0,40.5
0.0,99.0,37.5,40.5
0.0,99.0,37.5,40.5
0.0,99.0,37.5,40.5
0.0,99.0,37.5,40.5
0.0,99.0,37.5,40.5
0.0,99.0,37.5,40.5
0.0,99.0,37.5,40.5
0.0,99.0,37.0,40.5
0.0,99.0,37.0,40.0
0.0,99.0,36.5,40.0
0.0,99.0,36.5,40.0
0.0,99.0,36.5,40.0
0.0,99.0,36.0,40.0
0.0,99.0,36.0,40.5
0.0,99.0,35.5,40.5
0.0,99.0,35.0,40.5
0.0,99.0,34.5,40.5
0.0,99.0,34.5,40.5
0.0,99.0,34.0,40.5
0.0,99.0,33.5,41.0
0.0,99.0,33.5,41.0
0.0,99.0,33.5,41.5
0.0,99.0,32.99999999999999,42.0
0.0,99.0,32.99999999999999,42.0
0.0,99.0,32.99999999999999,42.0
0.0,99.0,32.5,42.5
0.0,99.0,32.5,42.5
0.0,99.0,32.5,43.0
0.0,99.0,32.0,43.0
0.0,99.0,32.0,43.5
0.0,99.0,31.5,44.0
0.0,99.0,31.5,44.5
0.0,99.0,31.5,45.0
0.0,100.0,31.5,45.5
0.0,100.0,31.5,45.5
0.0,100.0,31.5,45.5
0.0,100.0,31.5,46.0
0.0,100.0,31.0,46.5
0.0,100.0,31.0,46.0
0.0,100.0,31.0,46.0
0.0,100.0,31.0,46.0
0.0,100.0,31.5,46.5
0.0,100.0,31.5,46.0
0.0,99.0,31.5,45.5
0.0,99.0,31.5,45.5
0.0,99.0,31.5,45.5
0.0,99.0,31.5,45.5
0.0,100.0,31.5,45.0
0.0,99.0,32.0,44.5
0.0,99.0,32.0,44.0
0.0,99.0,32.0,44.0
0.0,99.0,32.0,43.5
0.0,99.0,32.0,43.5
0.0,99.0,32.0,43.0
0.0,100.0,32.0,43.0
0.0,100.0,32.0,43.0
0.0,100.0,32.0,43.0
0.0,100.0,32.0,43.0
0.0,100.0,32.0,43.0
0.0,99.0,32.0,43.0
0.0,99.0,32.0,42.5
0.0,99.0,32.0,42.0
0.019141,99.0,32.0,42.0
0.112342,99.0,32.5,41.0
0.183156,99.0,32.5,43.0
0.23795,99.0,32.0,44.0
0.287642,99.0,32.0,45.5
0.342958,99.0,31.5,46.0
0.400193,99.0,31.0,46.5
0.451308,99.0,30.5,47.0
0.495901,99.0,30.0,51.0
0.53712,99.0,30.0,49.0
0.594475,99.0,30.0,48.0
0.628809,99.0,30.0,52.5
0.671959,99.0,30.0,51.5
0.703194,99.0,30.0,53.0
0.73198,100.0,30.0,53.5
0.76139,100.0,30.0,54.0
0.790454,100.0,30.0,54.0
0.824181,100.0,30.0,53.5
0.852797,100.0,30.0,53.0
0.885512,100.0,30.0,53.0
0.930355,100.0,30.0,53.5
0.978001,100.0,30.0,53.5
1.008876,100.0,30.0,54.0
1.054426,100.0,30.0,54.0
1.090241,99.0,30.0,53.0
1.121868,99.0,30.0,52.0
1.153085,100.0,30.0,51.5
1.185138,100.0,30.0,51.5
1.218008,100.0,30.0,48.5
1.250159,100.0,30.0,48.0
1.282523,100.0,30.0,47.0
1.314438,100.0,30.0,47.0
1.346575,100.0,30.0,47.5
1.376362,100.0,30.0,47.5
1.407264,100.0,30.0,47.0
1.440741,99.0,30.0,46.0
1.47446,99.0,29.500000000000004,45.5
1.505769,99.0,29.500000000000004,44.5
1.544594,99.0,30.0,44.5
1.58242,99.0,30.0,43.5
1.612893,99.0,30.0,42.5
1.642939,99.0,30.0,42.0
1.676385,99.0,30.0,42.0
1.706871,99.0,30.5,42.0
1.73485,99.0,30.5,41.5
1.763104,99.0,30.5,42.0
1.790343,99.0,30.5,41.5
1.818124,99.0,30.5,41.5
1.844235,98.0,30.5,41.5
1.879014,98.0,30.5,41.0
1.909263,98.0,30.5,40.5
1.93733,98.0,30.5,40.5
1.967314,98.0,30.5,40.0
1.996692,98.0,30.5,40.5
2.02592,98.0,31.0,40.5
2.060043,98.0,31.0,40.0
2.089994,97.0,31.0,39.5
2.116805,98.0,31.0,40.0
2.145482,98.0,31.0,40.0
2.219421,98.0,31.0,40.0
2.266588,97.0,31.0,38.5
2.300913,97.0,31.0,39.0
2.332313,97.0,31.0,39.0
2.365928,97.0,30.5,39.5
2.398049,97.0,30.5,39.5
2.430557,97.0,30.5,40.0
2.463232,98.0,30.5,40.0
2.497414,98.0,30.5,40.5
2.531882,98.0,30.5,41.0
2.569801,98.0,30.0,42.0
2.605275,98.0,30.0,42.0
2.633818,98.0,30.0,42.5
2.66113,98.0,30.0,42.5
2.69003,98.0,30.0,42.5
2.72255,98.0,30.0,42.5
2.749356,98.0,30.0,42.5
2.775982,98.0,30.0,42.5
2.805309,98.0,30.0,42.5
2.834823,98.0,30.0,42.5
2.865917,98.0,30.0,42.0
2.895786,98.0,30.5,42.0
2.924553,98.0,30.5,42.0
2.952442,98.0,30.5,41.5
2.981623,98.0,30.5,41.5
3.009744,97.0,31.0,41.0
3.037337,97.0,31.0,40.5
3.066456,97.0,31.5,40.0
3.093631,96.0,31.5,39.5
3.12129,96.0,32.0,39.5
3.148316,96.0,32.5,39.0
3.17856,95.0,32.5,39.0
3.211625,95.0,32.99999999999999,38.5
3.243691,94.0,33.5,38.0
3.272409,94.0,33.5,37.5
3.309354,94.0,33.5,37.5
3.343406,93.0,33.5,37.5
3.377748,93.0,33.5,37.5
3.409845,93.0,33.5,38.0
3.443419,93.0,32.99999999999999,38.0
3.475918,93.0,32.99999999999999,38.5
3.508556,94.0,32.5,39.0
3.542705,94.0,32.0,39.5
3.579568,94.0,31.5,40.0
3.607298,95.0,31.5,40.5
3.633292,95.0,31.0,41.0
3.661371,95.0,30.5,41.5
3.690044,95.0,30.5,42.5
3.717914,96.0,30.0,43.0
3.746049,96.0,30.0,44.0
3.773964,96.0,30.0,44.5
3.801334,96.0,30.0,45.0
3.833356,96.0,30.0,45.0
3.859053,96.0,30.0,45.0
3.886695,96.0,30.0,45.0
3.915368,96.0,30.5,44.5
3.941991,96.0,30.5,44.5
3.972246,95.0,30.5,44.0
3.999067,95.0,30.5,43.5
4.026066,95.0,31.0,43.5
4.055044,95.0,31.0,43.0
4.082884,94.0,31.0,42.5
4.111333,94.0,31.0,42.0
4.139977,94.0,31.5,41.5
