Media Time (seconds),Attention (%),Valence (%),Arousal (%)
0.0,84.0,36.5,36.0
0.0,84.0,36.5,36.5
0.0,85.0,37.5,36.5
0.0,85.0,38.0,36.5
0.0,85.0,38.0,36.5
0.0,85.0,38.0,36.5
0.0,85.0,38.5,36.5
0.0,86.0,38.5,37.0
0.0,86.0,39.0,37.0
0.0,86.0,39.0,37.0
0.0,86.0,39.0,37.0
0.0,86.0,38.5,36.5
0.0,86.0,38.5,36.0
0.0,86.0,38.0,36.0
0.0,86.0,38.0,36.5
0.009773,86.0,38.0,36.5
0.04248,85.0,38.0,35.5
0.072607,86.0,37.5,36.0
0.105848,86.0,37.5,36.0
0.138199,86.0,37.5,36.5
0.188373,86.0,37.5,36.5
0.22676,87.0,36.5,37.5
0.258859,87.0,36.5,37.5
0.28769,87.0,36.5,37.5
0.31605,88.0,36.5,37.0
0.343483,87.0,36.0,37.0
0.371927,87.0,36.0,37.0
0.399734,87.0,36.0,37.0
0.427957,87.0,36.0,36.5
0.457042,87.0,36.0,36.5
0.488846,87.0,36.0,36.5
0.52384,87.0,35.5,36.5
0.575923,87.0,36.0,36.5
0.621505,87.0,36.0,36.5
0.657324,87.0,35.5,37.0
0.69345,88.0,35.5,37.5
0.727262,88.0,35.5,37.5
0.765973,88.0,35.5,37.0
0.801702,88.0,35.5,37.0
0.835172,88.0,36.0,37.5
0.867636,88.0,35.5,37.0
0.901531,88.0,35.5,37.0
0.93546,87.0,35.5,37.0
0.975276,87.0,35.5,37.0
1.011413,87.0,35.5,36.5
1.049143,87.0,35.5,36.5
1.082102,87.0,36.0,36.5
1.117062,87.0,36.0,37.0
1.152604,87.0,36.0,37.0
1.187525,87.0,36.0,37.0
1.220192,87.0,36.0,36.5
1.255176,86.0,36.0,36.5
1.290818,86.0,35.5,36.5
1.325529,86.0,35.5,36.5
1.360044,85.0,35.5,36.0
1.392035,85.0,35.5,36.0
1.427165,85.0,35.0,36.5
1.455779,85.0,35.0,36.5
1.483224,85.0,35.0,36.5
1.512027,85.0,35.0,36.5
1.539669,85.0,35.0,36.0
1.56892,85.0,35.0,36.5
1.595888,85.0,35.0,36.5
1.623993,85.0,35.0,36.5
1.654145,85.0,34.5,36.5
1.686783,86.0,35.0,36.5
1.717411,85.0,35.0,36.5
