Media Time (seconds),Arousal (%)
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.5
0.0,35.0
0.0,35.0
0.0,34.5
0.0,34.5
0.0,34.0
0.0,33.5
0.0,33.5
0.0,32.99999999999999
0.0,32.99999999999999
0.0,32.5
0.0,32.0
0.0,32.0
0.0,31.5
0.0,31.0
0.0,30.5
0.0,30.5
0.0,30.0
0.0,29.500000000000004
0.0,29.500000000000004
0.0,29.500000000000004
0.0,29.000000000000004
0.0,29.000000000000004
0.0,28.500000000000004
0.0,28.500000000000004
0.0,28.500000000000004
0.0,28.000000000000004
0.0,28.000000000000004
0.0,28.000000000000004
0.0,27.500000000000004
0.0,27.500000000000004
0.0,27.500000000000004
0.0,27.500000000000004
0.0,27.500000000000004
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.500000000000004
0.0,27.500000000000004
0.0,28.000000000000004
0.0,28.000000000000004
0.0,28.000000000000004
0.0,28.000000000000004
0.0,28.000000000000004
0.0,28.000000000000004
0.0,28.000000000000004
0.0,27.500000000000004
0.0,27.500000000000004
0.0,27.500000000000004
0.0,27.0
0.0,27.0
0.0,26.5
0.0,26.5
0.0,26.0
0.0,26.0
0.0,25.5
0.0,25.5
0.0,25.0
0.0,24.5
0.007284,24.5
0.02,24.0
0.02,24.0
0.02,24.0
0.027133,24.0
0.053835,24.0
0.079885,24.0
0.107201,24.0
0.145897,24.0
0.17362,24.0
0.201168,24.0
0.229117,24.0
0.255603,24.0
0.281067,24.0
0.307369,24.0
0.334864,24.0
0.364324,24.0
0.393155,24.0
0.420025,24.0
0.446838,23.5
0.473726,24.0
0.499889,24.0
0.527919,24.0
0.554066,24.0
0.580117,24.0
0.607401,24.0
0.644341,24.0
0.672412,23.5
0.699352,23.5
0.727014,23.5
0.753776,23.0
0.781897,23.0
0.80795,22.499999999999996
0.83343,22.499999999999996
0.859287,21.999999999999996
0.88779,21.999999999999996
0.914577,21.999999999999996
0.940257,21.999999999999996
0.96597,21.999999999999996
0.993956,21.999999999999996
1.02048,21.999999999999996
1.046088,21.500000000000004
1.073347,21.500000000000004
1.098615,21.500000000000004
1.125094,21.500000000000004
1.151296,21.500000000000004
1.18262,21.999999999999996
1.209704,21.999999999999996
1.235607,21.999999999999996
1.262335,22.499999999999996
1.288824,22.499999999999996
1.316224,22.499999999999996
1.342857,23.0
1.36899,23.0
1.396126,23.0
1.424648,23.0
1.454375,23.5
1.481951,23.5
1.508379,23.5
1.53528,24.0
1.562,24.0
1.590473,24.5
1.617416,25.0
1.644121,25.0
1.673373,25.5
1.700631,26.0
1.73201,26.0
1.760255,26.5
1.786878,26.5
1.81354,26.5
1.840416,27.0
1.868553,27.0
1.895345,26.5
1.923198,26.5
1.950865,26.5
1.977731,26.5
2.007507,26.5
2.034719,26.5
2.065784,26.5
2.09346,26.5
2.131466,26.5
2.174242,26.5
2.215465,26.5
2.259088,26.5
2.29904,26.5
2.340504,26.5
2.383814,26.5
2.425737,26.5
2.465851,26.5
2.507229,26.5
2.550536,26.5
2.59331,26.5
2.639729,26.5
2.682525,26.5
2.723354,27.0
2.765284,27.0
2.805864,27.500000000000004
2.847429,28.000000000000004
2.891313,28.000000000000004
2.930062,28.500000000000004
2.965041,29.000000000000004
3.006663,29.500000000000004
3.049182,30.0
3.092353,30.0
3.130314,30.0
3.159086,30.0
3.187939,30.0
3.2143,30.0
3.239323,30.0
3.265011,30.0
3.292258,30.0
3.317518,30.5
3.347375,30.5
3.373772,30.5
3.406904,31.0
3.435393,31.5
3.463873,31.5
3.491753,31.5
3.520764,32.0
3.548856,32.0
3.577174,32.0
3.604541,32.0
3.63297,32.0
3.663511,32.0
3.692289,32.0
3.723157,32.5
3.750669,32.5
3.77868,32.99999999999999
3.805964,33.5
3.832866,33.5
3.860663,34.0
3.889367,34.0
3.915783,34.5
3.943047,35.0
3.969892,35.5
3.99804,36.0
4.02527,36.0
4.05403,36.5
4.081513,36.5
4.108998,37.0
4.136474,37.0
4.164018,37.0
4.192795,37.5
4.218487,37.5
4.24365,37.5
4.268925,37.0
4.296491,37.0
4.321742,37.0
4.348318,36.5
4.372506,36.5
4.399266,36.0
4.427957,35.5
4.456834,35.0
4.484512,35.0
4.512586,34.5
4.540114,34.0
4.566401,33.5
4.594223,32.99999999999999
4.620259,32.5
4.647318,32.0
4.675165,31.5
4.701,31.0
4.727873,31.0
4.755982,30.5
4.783301,30.5
4.809799,30.5
4.835275,30.5
4.86323,30.0
4.891646,30.0
4.918708,29.500000000000004
4.94538,29.500000000000004
4.971111,29.500000000000004
4.998693,29.500000000000004
5.025682,29.500000000000004
5.053824,29.500000000000004
5.080723,29.000000000000004
5.107089,29.000000000000004
5.134698,28.500000000000004
5.161409,28.500000000000004
5.188371,28.000000000000004
5.42281,22.499999999999996
5.448283,22.499999999999996
5.660579,19.0
5.688128,19.0
5.713372,19.0
5.803351,18.0
5.828521,17.5
5.857038,17.5
5.883384,17.5
5.90851,17.5
5.93604,17.5
5.961807,17.5
5.987405,17.5
6.014429,17.5
6.04314,17.5
6.069269,17.5
6.097587,18.0
6.125879,18.0
6.154118,18.5
6.181959,18.5
6.213629,18.5
6.239997,19.0
6.267949,19.5
6.293746,19.5
6.320147,20.0
6.34642,20.0
6.372366,20.5
6.401393,20.5
6.428992,21.000000000000004
6.456411,21.000000000000004
6.523743,21.500000000000004
6.549833,21.999999999999996
6.575597,21.999999999999996
6.935143,31.0
6.960808,31.0
6.987865,31.0
7.013848,31.0
7.039629,31.0
7.068433,31.0
7.095085,31.5
7.121414,31.5
7.147375,31.5
7.175056,32.0
7.203348,32.0
7.230655,32.0
7.257525,32.5
7.282973,32.5
7.309826,32.99999999999999
7.33525,32.99999999999999
7.361315,33.5
7.388946,33.5
7.414752,33.5
7.440374,34.0
7.466811,34.0
7.493354,34.5
7.519786,34.5
7.547338,35.0
7.57455,35.0
7.601841,35.0
7.629774,35.5
7.655245,35.5
7.682038,36.0
7.707334,36.0
7.734542,36.0
7.761979,36.0
7.789494,36.0
7.815935,36.0
7.841507,36.5
7.868246,36.5
7.893823,36.5
7.921489,36.5
8.010242,36.0
8.03635,36.0
8.064141,36.0
8.090786,36.0
8.11794,36.0
8.143948,36.0
8.17027,36.5
8.198112,36.0
8.22466,36.0
8.250998,36.0
8.276645,36.5
8.303485,36.5
8.330908,36.5
8.356715,36.5
8.382603,36.5
8.408632,36.0
8.435967,36.0
8.462923,35.5
8.489245,35.5
8.515907,35.0
8.543553,35.0
8.569219,35.0
8.595636,35.0
8.623027,35.0
8.650234,35.0
8.67518,35.0
8.701272,35.0
8.728568,35.5
8.756963,35.5
8.78235,35.5
8.809804,35.5
8.836597,35.5
8.863718,35.5
8.890959,36.0
8.916872,36.0
8.943305,36.0
8.970076,36.0
8.997488,36.5
9.029013,36.5
9.057179,36.5
9.0841,36.5
9.109056,36.5
9.136927,36.5
9.163266,36.5
9.19121,36.5
9.220344,36.0
9.246955,36.0
9.273489,35.5
9.300227,35.5
9.328304,35.5
9.354791,35.0
9.381437,35.0
9.450952,34.5
9.476855,34.0
9.502921,34.0
9.610309,35.0
9.636973,35.0
9.66366,35.0
9.689394,35.0
9.71609,35.0
9.742734,35.0
9.768349,35.0
9.795853,35.5
9.821774,35.5
9.84714,35.5
9.8731,35.5
9.899296,35.5
9.926733,35.5
9.953019,35.5
9.979639,35.5
10.006281,35.0
10.033692,35.0
10.060301,35.0
10.086072,35.0
10.112429,35.0
10.139029,35.5
10.165586,35.5
10.192654,35.5
10.217864,35.5
10.245027,35.5
10.271745,35.5
10.30037,35.5
10.327164,35.5
10.3546,36.0
10.381025,36.0
10.40792,36.0
10.434222,36.0
10.46203,36.0
10.4908,36.0
10.518072,36.5
10.544666,36.5
10.570618,36.5
10.598416,36.5
10.625735,36.5
10.652437,36.5
10.67859,36.5
10.705126,36.5
10.732101,36.5
10.759088,36.5
10.785187,36.5
10.811414,37.0
10.838074,37.0
10.866139,37.0
10.893192,37.0
10.918745,37.0
10.945394,37.0
10.971992,37.0
10.999409,37.0
11.025032,37.0
11.053598,37.0
11.078778,37.0
11.104671,37.0
11.130285,37.0
11.157072,37.0
11.184812,37.0
11.210772,37.0
11.236244,37.0
11.263919,37.0
11.291823,36.5
11.318058,36.5
11.34564,36.5
11.372284,36.5
11.461814,35.5
11.490741,35.5
11.51926,35.5
11.546064,35.5
11.574204,35.5
11.603749,35.5
11.633036,35.0
11.662041,35.5
11.691607,35.5
11.721395,35.5
11.74853,35.5
11.776698,35.5
11.805451,35.5
11.832975,35.5
11.860335,35.5
11.888599,35.5
11.916884,35.5
11.948812,36.0
11.976187,36.0
12.003815,36.0
12.031894,36.5
12.059707,36.5
12.087732,36.5
12.114206,36.5
12.14197,36.5
12.169429,36.0
12.197952,36.0
12.225619,36.0
12.254551,36.5
12.282021,36.5
12.309833,36.5
12.336562,36.5
12.363562,36.5
12.390836,36.5
12.417158,36.5
12.443783,36.5
12.471851,36.5
12.499985,36.5
12.526834,36.5
12.554786,36.5
12.582209,36.0
12.609462,36.0
12.637715,36.0
12.665215,36.0
12.693501,36.0
12.722099,36.0
12.748763,36.5
12.776592,36.5
12.804878,36.5
12.831331,36.5
12.858909,36.5
