Media Time (seconds),Arousal (%)
0.0,35.5
0.0,35.5
0.0,32.5
0.0,31.5
0.0,31.0
0.0,30.0
0.0,29.500000000000004
0.0,28.500000000000004
0.0,28.000000000000004
0.0,27.500000000000004
0.0,27.500000000000004
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,27.0
0.0,26.5
0.0,26.5
0.019632,26.0
0.043426,26.5
0.072146,26.5
0.102416,26.5
0.133097,26.5
0.183726,26.0
0.219828,25.5
0.251116,25.5
0.2817,25.0
0.315291,24.5
0.343425,24.5
0.371988,24.0
0.401997,24.0
0.432746,23.5
0.462625,23.0
0.495721,23.0
0.526167,22.499999999999996
0.555194,22.499999999999996
0.583066,21.999999999999996
0.610045,21.999999999999996
0.640051,21.999999999999996
0.667232,21.500000000000004
0.695519,21.500000000000004
0.723994,21.500000000000004
0.752439,21.500000000000004
0.780272,21.500000000000004
0.809025,21.500000000000004
0.835837,21.500000000000004
0.863113,21.500000000000004
0.890925,21.999999999999996
0.918411,21.999999999999996
0.947162,21.999999999999996
0.973761,22.499999999999996
1.003718,22.499999999999996
1.032135,22.499999999999996
1.061162,23.0
1.0888,23.0
1.116581,23.0
1.143974,23.5
1.169329,23.5
1.196703,24.0
1.223024,24.0
1.247959,24.5
1.275802,24.5
1.305784,24.5
1.331598,24.5
1.359099,24.5
1.385663,24.5
1.411559,24.5
1.439485,24.0
1.465539,24.0
1.492231,24.0
1.519291,23.5
1.545565,23.5
1.572573,23.5
1.598612,23.0
1.624317,23.0
1.650992,23.0
1.678396,22.499999999999996
1.705693,22.499999999999996
1.732602,21.999999999999996
1.759367,21.999999999999996
1.787616,21.999999999999996
1.819672,21.500000000000004
1.849764,21.500000000000004
1.876444,21.000000000000004
1.904415,21.000000000000004
1.930361,21.000000000000004
1.957386,21.000000000000004
1.984684,20.5
2.011361,20.5
2.037458,20.5
2.064504,20.5
2.090021,21.000000000000004
2.119028,21.000000000000004
2.146248,21.000000000000004
2.171804,21.000000000000004
2.197456,20.5
2.223816,20.5
2.248776,20.5
2.27504,20.5
2.300596,20.0
2.327566,20.0
2.354049,20.0
2.381846,20.0
2.40743,19.5
2.435977,19.5
2.463115,19.5
2.488904,19.0
2.514835,19.0
2.541497,19.0
2.566644,19.0
2.593137,19.0
2.620177,19.0
2.65025,19.0
2.678219,19.0
2.704462,19.0
2.732128,19.0
2.75955,19.0
2.785737,19.5
2.813521,19.5
2.840083,19.5
2.867551,20.0
2.895156,20.0
2.92486,20.5
2.952869,20.5
2.98186,21.000000000000004
3.010596,21.500000000000004
3.037207,21.500000000000004
3.064498,21.999999999999996
3.092421,22.499999999999996
3.118829,22.499999999999996
3.146434,23.0
3.172899,23.5
3.203653,23.5
3.232222,24.0
3.258792,24.5
3.28499,25.0
3.313266,25.5
3.339929,26.0
3.366979,26.5
3.395945,26.5
3.42435,27.0
3.450509,27.500000000000004
3.477961,28.000000000000004
3.504841,28.500000000000004
3.531658,29.000000000000004
3.558191,29.500000000000004
3.585133,30.0
3.614165,30.5
3.640713,31.5
3.666658,32.0
3.692803,32.5
3.721518,32.99999999999999
3.748313,33.5
3.774371,34.5
3.802021,35.0
3.827689,35.5
3.856456,36.5
3.883211,37.0
3.908763,38.0
3.936414,38.5
3.980804,39.5
4.029226,41.0
4.071619,42.5
4.112835,44.5
4.154512,46.5
4.196039,52.5
4.237921,54.50000000000001
4.279768,55.50000000000001
4.321439,56.00000000000001
4.36257,57.49999999999999
4.404318,58.5
4.44661,59.5
4.488577,59.5
4.529314,59.5
4.572256,60.5
4.620615,60.5
4.666654,60.0
4.70685,60.0
4.749373,59.5
4.791603,59.0
4.833873,57.99999999999999
4.874899,57.00000000000001
4.916282,57.00000000000001
4.95474,57.00000000000001
4.984007,57.00000000000001
5.011029,57.49999999999999
5.039745,57.49999999999999
5.067109,57.99999999999999
5.093618,58.5
5.120193,59.0
5.14787,59.0
5.177497,59.0
5.203742,59.0
5.231032,59.0
5.25748,59.0
5.283063,59.0
5.31062,59.0
5.338104,59.0
5.366086,59.5
5.393632,59.5
5.420791,59.5
5.446893,59.5
5.473931,60.0
5.501169,60.0
5.529264,60.5
5.555743,60.5
5.581427,60.5
5.608323,60.5
5.633767,61.0
5.661738,61.0
5.689899,61.5
5.714989,62.0
5.74156,62.5
5.769388,62.5
5.795079,63.0
5.821648,63.0
5.846935,63.5
5.872872,63.5
5.900099,63.5
5.925202,63.5
5.953368,63.5
5.980115,63.0
6.006726,63.0
6.033014,63.0
6.061952,63.0
6.087936,63.0
6.11512,63.0
6.141724,62.5
6.167755,62.5
6.192808,62.5
6.219443,62.0
6.244739,62.0
6.272263,62.5
6.29858,62.5
6.324701,62.5
6.352562,63.0
6.378138,63.0
6.406165,63.5
6.432402,63.5
6.458546,63.5
6.485557,63.5
6.512258,63.5
6.538615,63.5
6.566586,64.0
6.59248,64.0
6.61936,64.0
6.646788,64.0
6.67273,64.0
6.699239,64.5
6.724798,64.5
6.752985,64.5
6.778774,64.5
6.80473,64.5
6.830276,64.5
6.857712,64.0
6.884145,64.0
6.909753,63.5
6.937816,63.5
6.964387,63.0
6.990516,62.5
7.018067,62.0
7.044612,61.5
7.071599,61.0
7.098214,61.0
7.124641,60.5
7.152052,60.0
7.179182,60.0
7.205639,59.5
7.231026,59.5
7.25673,59.5
7.282173,59.5
7.308998,59.5
7.335904,59.5
7.36256,60.0
7.388498,60.0
7.414859,60.5
7.441353,60.5
7.468108,61.0
7.495379,61.5
7.52243,62.0
7.550327,62.0
7.576531,62.0
7.604895,62.0
7.630956,62.5
7.658283,62.5
7.685853,62.5
7.712207,62.5
7.740781,63.0
7.76824,63.0
7.79508,63.5
7.822676,63.5
7.849738,63.5
7.876178,63.5
7.901667,63.5
7.927906,63.5
7.954781,63.0
7.981305,63.0
8.007311,63.0
8.032514,63.0
8.059477,63.0
8.086907,63.0
8.119793,63.0
8.148288,63.0
8.174507,63.0
8.202424,63.0
8.229405,63.0
8.255436,63.0
8.282748,63.0
8.311761,63.0
8.337699,63.0
8.365964,63.0
8.394045,63.0
8.421878,63.0
8.449135,63.5
8.478054,63.5
8.504456,63.0
8.53337,63.0
8.56154,63.0
8.587428,62.5
8.61294,62.5
8.640137,62.5
8.667029,62.5
8.692445,62.5
8.717411,62.0
8.743556,62.0
8.770144,62.0
8.794782,62.0
8.820359,62.0
8.847241,62.0
8.873451,62.0
8.900052,62.0
8.92543,62.0
8.953001,62.0
8.980085,62.0
9.007095,62.0
9.03247,61.5
9.06139,61.5
9.087906,61.5
9.116522,61.0
9.14415,61.5
9.171123,61.5
9.198783,61.0
9.225464,61.0
9.251824,61.0
9.279717,61.0
9.30616,61.0
9.334754,61.0
9.363574,61.5
9.39341,61.5
9.420697,62.0
9.448499,62.0
9.477447,62.5
9.505902,63.0
9.533488,63.0
9.562332,63.0
9.589603,63.0
9.616965,63.0
9.644599,63.0
9.672144,63.0
9.699245,62.5
9.727966,62.5
9.755021,62.0
9.784023,61.5
9.81263,61.5
9.84002,61.5
9.868091,61.0
9.896693,61.0
9.923018,60.5
9.951879,60.5
9.979914,60.0
10.007291,60.0
10.033918,60.0
10.063018,60.5
10.09022,60.5
10.117921,61.0
10.147716,61.0
10.175687,61.0
10.202754,61.5
10.230918,61.5
10.257634,62.0
10.284807,62.0
10.313349,62.0
10.339875,62.0
10.368556,62.0
10.397938,61.5
10.424577,61.5
10.450284,61.0
10.479624,61.0
10.506815,61.5
10.534072,61.5
10.561753,61.5
10.588109,61.5
10.616249,61.5
10.644489,61.5
10.671472,61.5
10.698846,62.0
10.727863,62.0
10.753333,61.5
10.781452,61.5
10.808976,61.5
10.836527,61.5
10.863999,61.0
10.892466,61.0
10.918302,61.0
10.946369,61.0
10.973175,61.0
11.000494,61.0
11.026423,61.0
11.053494,61.5
11.080283,61.5
11.106151,61.0
11.138591,61.5
11.166506,61.5
11.193091,61.5
11.219404,61.5
11.247031,61.5
11.273798,61.0
11.300467,61.0
11.326763,61.0
11.35483,61.0
11.382988,61.0
11.408618,61.0
11.435114,61.0
11.460943,60.5
11.488869,61.0
11.514632,61.0
11.540653,61.0
11.566274,60.5
11.593304,60.5
11.618676,60.0
11.645413,60.0
11.670868,59.5
11.698116,59.0
11.723693,59.0
11.749127,59.0
11.774648,59.0
11.801355,58.5
11.826785,58.5
11.853905,58.5
11.879903,58.5
11.907413,58.5
11.935748,57.99999999999999
11.962216,57.99999999999999
11.987325,57.99999999999999
12.014207,57.99999999999999
12.039205,57.99999999999999
12.065393,57.99999999999999
12.090738,57.99999999999999
12.117605,57.99999999999999
12.144059,57.99999999999999
12.168993,57.99999999999999
12.195271,58.5
12.22185,57.99999999999999
12.247924,57.99999999999999
12.27476,57.99999999999999
12.300823,57.99999999999999
12.327968,57.49999999999999
12.355015,57.49999999999999
12.382299,57.49999999999999
12.408815,57.49999999999999
12.437428,57.49999999999999
12.464678,57.00000000000001
12.491468,57.00000000000001
12.51973,56.49999999999999
12.54731,56.49999999999999
12.575952,56.49999999999999
12.605764,56.00000000000001
12.6328,56.00000000000001
12.659003,55.50000000000001
12.689167,55.50000000000001
12.715794,55.50000000000001
12.743189,55.00000000000001
12.771448,54.50000000000001
12.798913,54.50000000000001
12.825476,54.50000000000001
12.853794,54.0
12.881321,54.50000000000001
12.908105,55.00000000000001
12.937312,54.50000000000001
12.96544,54.50000000000001
12.991875,54.50000000000001
13.022167,54.50000000000001
13.049627,55.00000000000001
13.077781,55.00000000000001
