mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0.01,"Happy":0,"Neutral":0.41,"Sad":0.01,"Surprise":0.53},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.28,-0.27,"",,,,""
0,FACE_ATTENTION,0.84,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.04,"Disgust":0,"Fear":0.01,"Happy":0,"Neutral":0.48,"Sad":0.02,"Surprise":0.45},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.27,-0.27,"",,,,""
0,FACE_ATTENTION,0.84,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0.01,"Happy":0,"Neutral":0.41,"Sad":0.01,"Surprise":0.53},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.27,-0.25,"",,,,""
0,FACE_ATTENTION,0.85,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0.01,"Happy":0,"Neutral":0.46,"Sad":0.02,"Surprise":0.48},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.27,-0.24,"",,,,""
0,FACE_ATTENTION,0.85,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.52,"Sad":0.02,"Surprise":0.42},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.27,-0.24,"",,,,""
0,FACE_ATTENTION,0.85,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.47,"Sad":0.02,"Surprise":0.48},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.27,-0.24,"",,,,""
0,FACE_ATTENTION,0.85,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.51,"Sad":0.02,"Surprise":0.43},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.27,-0.23,"",,,,""
0,FACE_ATTENTION,0.85,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.45,"Sad":0.01,"Surprise":0.5},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.26,-0.23,"",,,,""
0,FACE_ATTENTION,0.86,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0.02,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.45,"Sad":0.01,"Surprise":0.5},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.26,-0.22,"",,,,""
0,FACE_ATTENTION,0.86,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0.02,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.46,"Sad":0.01,"Surprise":0.49},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.26,-0.22,"",,,,""
0,FACE_ATTENTION,0.86,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.02,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.52,"Sad":0.02,"Surprise":0.43},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.26,-0.22,"",,,,""
0,FACE_ATTENTION,0.86,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0.02,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.45,"Sad":0.02,"Surprise":0.5},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.27,-0.23,"",,,,""
0,FACE_ATTENTION,0.86,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0.02,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.47,"Sad":0.02,"Surprise":0.48},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.28,-0.23,"",,,,""
0,FACE_ATTENTION,0.86,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.02,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.51,"Sad":0.02,"Surprise":0.44},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.28,-0.24,"",,,,""
0,FACE_ATTENTION,0.86,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.02,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.49,"Sad":0.02,"Surprise":0.46},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.27,-0.24,"",,,,""
0,FACE_ATTENTION,0.86,,,,"",,,,""
0.006737,FACE_DETECTOR,,,,,"",1,INIT,,""
0.006817,FACE_EMOTION,,Surprise,,,{"Angry":0.02,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.45,"Sad":0.02,"Surprise":0.5},,,,""
0.009726,FACE_AROUSAL_VALENCE,,,-0.27,-0.24,"",,,,""
0.009773,FACE_ATTENTION,0.86,,,,"",,,,""
0.0296,FACE_DETECTOR,,,,,"",1,INIT,,""
0.039361,FACE_EMOTION,,Surprise,,,{"Angry":0.02,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.39,"Sad":0.02,"Surprise":0.56},,,,""
0.042415,FACE_AROUSAL_VALENCE,,,-0.29,-0.24,"",,,,""
0.04248,FACE_ATTENTION,0.85,,,,"",,,,""
0.062235,FACE_DETECTOR,,,,,"",1,INIT,,""
0.070088,FACE_EMOTION,,Surprise,,,{"Angry":0.02,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.34,"Sad":0.02,"Surprise":0.62},,,,""
0.072553,FACE_AROUSAL_VALENCE,,,-0.28,-0.25,"",,,,""
0.072607,FACE_ATTENTION,0.86,,,,"",,,,""
0.094339,FACE_DETECTOR,,,,,"",1,INIT,,""
0.103176,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.38,"Sad":0.03,"Surprise":0.58},,,,""
0.105783,FACE_AROUSAL_VALENCE,,,-0.28,-0.25,"",,,,""
0.105848,FACE_ATTENTION,0.86,,,,"",,,,""
0.127096,FACE_DETECTOR,,,,,"",1,INIT,,""
0.136172,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.42,"Sad":0.03,"Surprise":0.54},,,,""
0.138144,FACE_AROUSAL_VALENCE,,,-0.27,-0.25,"",,,,""
0.138199,FACE_ATTENTION,0.86,,,,"",,,,""
0.171708,FACE_DETECTOR,,,,,"",1,INIT,,""
0.184575,FACE_EMOTION,,Surprise,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.47,"Sad":0.04,"Surprise":0.49},,,,""
0.188313,FACE_AROUSAL_VALENCE,,,-0.27,-0.25,"",,,,""
0.188373,FACE_ATTENTION,0.86,,,,"",,,,""
0.214776,FACE_DETECTOR,,,,,"",1,INIT,,""
0.224598,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.41,"Sad":0.03,"Surprise":0.54},,,,""
0.226715,FACE_AROUSAL_VALENCE,,,-0.25,-0.27,"",,,,""
0.22676,FACE_ATTENTION,0.87,,,,"",,,,""
0.246907,FACE_DETECTOR,,,,,"",1,INIT,,""
0.256316,FACE_EMOTION,,Neutral,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.48,"Sad":0.05,"Surprise":0.47},,,,""
0.258802,FACE_AROUSAL_VALENCE,,,-0.25,-0.27,"",,,,""
0.258859,FACE_ATTENTION,0.87,,,,"",,,,""
0.27858,FACE_DETECTOR,,,,,"",1,INIT,,""
0.286161,FACE_EMOTION,,Neutral,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.51,"Sad":0.05,"Surprise":0.43},,,,""
0.287636,FACE_AROUSAL_VALENCE,,,-0.25,-0.27,"",,,,""
0.28769,FACE_ATTENTION,0.87,,,,"",,,,""
0.307598,FACE_DETECTOR,,,,,"",1,INIT,,""
0.314444,FACE_EMOTION,,Neutral,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.55,"Sad":0.05,"Surprise":0.38},,,,""
0.316007,FACE_AROUSAL_VALENCE,,,-0.26,-0.27,"",,,,""
0.31605,FACE_ATTENTION,0.88,,,,"",,,,""
0.335346,FACE_DETECTOR,,,,,"",1,INIT,,""
0.341604,FACE_EMOTION,,Neutral,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.58,"Sad":0.05,"Surprise":0.35},,,,""
0.343415,FACE_AROUSAL_VALENCE,,,-0.26,-0.28,"",,,,""
0.343483,FACE_ATTENTION,0.87,,,,"",,,,""
0.362933,FACE_DETECTOR,,,,,"",1,INIT,,""
0.370331,FACE_EMOTION,,Neutral,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.56,"Sad":0.04,"Surprise":0.36},,,,""
0.371871,FACE_AROUSAL_VALENCE,,,-0.26,-0.28,"",,,,""
0.371927,FACE_ATTENTION,0.87,,,,"",,,,""
0.391144,FACE_DETECTOR,,,,,"",1,INIT,,""
0.398291,FACE_EMOTION,,Neutral,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.56,"Sad":0.04,"Surprise":0.36},,,,""
0.399693,FACE_AROUSAL_VALENCE,,,-0.26,-0.28,"",,,,""
0.399734,FACE_ATTENTION,0.87,,,,"",,,,""
0.418849,FACE_DETECTOR,,,,,"",1,INIT,,""
0.4263,FACE_EMOTION,,Neutral,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.58,"Sad":0.05,"Surprise":0.33},,,,""
0.427913,FACE_AROUSAL_VALENCE,,,-0.27,-0.28,"",,,,""
0.427957,FACE_ATTENTION,0.87,,,,"",,,,""
0.447535,FACE_DETECTOR,,,,,"",1,INIT,,""
0.455052,FACE_EMOTION,,Neutral,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.59,"Sad":0.06,"Surprise":0.31},,,,""
0.457002,FACE_AROUSAL_VALENCE,,,-0.27,-0.28,"",,,,""
0.457042,FACE_ATTENTION,0.87,,,,"",,,,""
0.477692,FACE_DETECTOR,,,,,"",1,INIT,,""
0.48714,FACE_EMOTION,,Neutral,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.58,"Sad":0.06,"Surprise":0.32},,,,""
0.488806,FACE_AROUSAL_VALENCE,,,-0.27,-0.28,"",,,,""
0.488846,FACE_ATTENTION,0.87,,,,"",,,,""
0.51642,FACE_DETECTOR,,,,,"",1,INIT,,""
0.522481,FACE_EMOTION,,Neutral,,,{"Angry":0.04,"Disgust":0.01,"Fear":0,"Happy":0.01,"Neutral":0.59,"Sad":0.07,"Surprise":0.29},,,,""
0.523803,FACE_AROUSAL_VALENCE,,,-0.27,-0.29,"",,,,""
0.52384,FACE_ATTENTION,0.87,,,,"",,,,""
0.567618,FACE_DETECTOR,,,,,"",1,INIT,,""
0.574356,FACE_EMOTION,,Neutral,,,{"Angry":0.05,"Disgust":0.01,"Fear":0.01,"Happy":0.01,"Neutral":0.56,"Sad":0.06,"Surprise":0.32},,,,""
0.575882,FACE_AROUSAL_VALENCE,,,-0.27,-0.28,"",,,,""
0.575923,FACE_ATTENTION,0.87,,,,"",,,,""
0.610201,FACE_DETECTOR,,,,,"",1,INIT,,""
0.619995,FACE_EMOTION,,Neutral,,,{"Angry":0.04,"Disgust":0.01,"Fear":0,"Happy":0,"Neutral":0.61,"Sad":0.07,"Surprise":0.27},,,,""
0.621456,FACE_AROUSAL_VALENCE,,,-0.27,-0.28,"",,,,""
0.621505,FACE_ATTENTION,0.87,,,,"",,,,""
0.649236,FACE_DETECTOR,,,,,"",1,INIT,,""
0.655861,FACE_EMOTION,,Neutral,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.55,"Sad":0.06,"Surprise":0.33},,,,""
0.657277,FACE_AROUSAL_VALENCE,,,-0.26,-0.29,"",,,,""
0.657324,FACE_ATTENTION,0.87,,,,"",,,,""
0.686364,FACE_DETECTOR,,,,,"",1,INIT,,""
0.691946,FACE_EMOTION,,Neutral,,,{"Angry":0.05,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.53,"Sad":0.06,"Surprise":0.36},,,,""
0.693413,FACE_AROUSAL_VALENCE,,,-0.25,-0.29,"",,,,""
0.69345,FACE_ATTENTION,0.88,,,,"",,,,""
0.719996,FACE_DETECTOR,,,,,"",1,INIT,,""
0.725588,FACE_EMOTION,,Neutral,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.48,"Sad":0.05,"Surprise":0.41},,,,""
0.727207,FACE_AROUSAL_VALENCE,,,-0.25,-0.29,"",,,,""
0.727262,FACE_ATTENTION,0.88,,,,"",,,,""
0.751645,FACE_DETECTOR,,,,,"",1,INIT,,""
0.764125,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.44,"Sad":0.04,"Surprise":0.46},,,,""
0.765923,FACE_AROUSAL_VALENCE,,,-0.26,-0.29,"",,,,""
0.765973,FACE_ATTENTION,0.88,,,,"",,,,""
0.793009,FACE_DETECTOR,,,,,"",1,INIT,,""
0.800197,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.41,"Sad":0.04,"Surprise":0.51},,,,""
0.801659,FACE_AROUSAL_VALENCE,,,-0.26,-0.29,"",,,,""
0.801702,FACE_ATTENTION,0.88,,,,"",,,,""
0.82784,FACE_DETECTOR,,,,,"",1,INIT,,""
0.833743,FACE_EMOTION,,Surprise,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.41,"Sad":0.04,"Surprise":0.5},,,,""
0.835119,FACE_AROUSAL_VALENCE,,,-0.25,-0.28,"",,,,""
0.835172,FACE_ATTENTION,0.88,,,,"",,,,""
0.860314,FACE_DETECTOR,,,,,"",1,INIT,,""
0.866154,FACE_EMOTION,,Surprise,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.4,"Sad":0.03,"Surprise":0.51},,,,""
0.867589,FACE_AROUSAL_VALENCE,,,-0.26,-0.29,"",,,,""
0.867636,FACE_ATTENTION,0.88,,,,"",,,,""
0.894339,FACE_DETECTOR,,,,,"",1,INIT,,""
0.899893,FACE_EMOTION,,Surprise,,,{"Angry":0.04,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.4,"Sad":0.03,"Surprise":0.52},,,,""
0.901484,FACE_AROUSAL_VALENCE,,,-0.26,-0.29,"",,,,""
0.901531,FACE_ATTENTION,0.88,,,,"",,,,""
0.928482,FACE_DETECTOR,,,,,"",1,INIT,,""
0.933886,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.39,"Sad":0.04,"Surprise":0.53},,,,""
0.935413,FACE_AROUSAL_VALENCE,,,-0.26,-0.29,"",,,,""
0.93546,FACE_ATTENTION,0.87,,,,"",,,,""
0.964359,FACE_DETECTOR,,,,,"",1,INIT,,""
0.972921,FACE_EMOTION,,Surprise,,,{"Angry":0.03,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.38,"Sad":0.03,"Surprise":0.55},,,,""
0.975231,FACE_AROUSAL_VALENCE,,,-0.26,-0.29,"",,,,""
0.975276,FACE_ATTENTION,0.87,,,,"",,,,""
1.004547,FACE_DETECTOR,,,,,"",1,INIT,,""
