mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
,GEO_INFO,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.27,"Disgust":0.09,"Fear":0.25,"Happy":0.01,"Neutral":0.11,"Sad":0.15,"Surprise":0.11},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.81,-0.22,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.3,"Disgust":0.12,"Fear":0.25,"Happy":0.01,"Neutral":0.1,"Sad":0.11,"Surprise":0.11},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.8,-0.22,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.33,"Disgust":0.1,"Fear":0.26,"Happy":0,"Neutral":0.09,"Sad":0.09,"Surprise":0.14},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.79,-0.22,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.32,"Disgust":0.11,"Fear":0.26,"Happy":0,"Neutral":0.08,"Sad":0.08,"Surprise":0.15},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.79,-0.22,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.33,"Disgust":0.12,"Fear":0.26,"Happy":0,"Neutral":0.07,"Sad":0.07,"Surprise":0.15},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.78,-0.22,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.34,"Disgust":0.1,"Fear":0.26,"Happy":0,"Neutral":0.07,"Sad":0.06,"Surprise":0.18},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.78,-0.23,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.34,"Disgust":0.08,"Fear":0.25,"Happy":0,"Neutral":0.07,"Sad":0.05,"Surprise":0.2},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.78,-0.23,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.33,"Disgust":0.08,"Fear":0.29,"Happy":0,"Neutral":0.06,"Sad":0.05,"Surprise":0.17},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.77,-0.23,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.34,"Disgust":0.08,"Fear":0.29,"Happy":0,"Neutral":0.06,"Sad":0.04,"Surprise":0.17},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.77,-0.23,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.34,"Disgust":0.07,"Fear":0.29,"Happy":0,"Neutral":0.07,"Sad":0.04,"Surprise":0.18},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.76,-0.23,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.32,"Disgust":0.12,"Fear":0.26,"Happy":0,"Neutral":0.07,"Sad":0.05,"Surprise":0.17},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.76,-0.23,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.3,"Disgust":0.1,"Fear":0.28,"Happy":0,"Neutral":0.1,"Sad":0.05,"Surprise":0.15},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.76,-0.23,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.28,"Disgust":0.14,"Fear":0.28,"Happy":0,"Neutral":0.09,"Sad":0.05,"Surprise":0.14},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.76,-0.23,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.28,"Disgust":0.13,"Fear":0.28,"Happy":0,"Neutral":0.1,"Sad":0.05,"Surprise":0.16},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.26,"Disgust":0.13,"Fear":0.28,"Happy":0.01,"Neutral":0.09,"Sad":0.09,"Surprise":0.14},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0.012239,FACE_DETECTOR,,,,,"",1,INIT,,""
0.012239,FACE_EMOTION,,,,,{"Angry":0.25,"Disgust":0.13,"Fear":0.27,"Happy":0.01,"Neutral":0.09,"Sad":0.11,"Surprise":0.13},,,,""
0.012239,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0.012239,FACE_ATTENTION,,,,,"",,,,""
0.012239,FACE_DETECTOR,,,,,"",1,INIT,,""
0.012239,FACE_EMOTION,,,,,{"Angry":0.22,"Disgust":0.12,"Fear":0.29,"Happy":0.01,"Neutral":0.09,"Sad":0.09,"Surprise":0.19},,,,""
0.012239,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0.012239,FACE_ATTENTION,,,,,"",,,,""
0.030803,FACE_DETECTOR,,,,,"",1,INIT,,""
0.05117,FACE_EMOTION,,,,,{"Angry":0.29,"Disgust":0.11,"Fear":0.23,"Happy":0,"Neutral":0.08,"Sad":0.08,"Surprise":0.17},,,,""
0.055818,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0.055891,FACE_ATTENTION,,,,,"",,,,""
0.079428,FACE_DETECTOR,,,,,"",1,INIT,,""
0.090016,FACE_EMOTION,,Angry,,,{"Angry":0.32,"Disgust":0.1,"Fear":0.23,"Happy":0,"Neutral":0.1,"Sad":0.07,"Surprise":0.16},,,,""
0.092904,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0.092967,FACE_ATTENTION,,,,,"",,,,""
0.114849,FACE_DETECTOR,,,,,"",1,INIT,,""
0.123447,FACE_EMOTION,,,,,{"Angry":0.29,"Disgust":0.12,"Fear":0.22,"Happy":0,"Neutral":0.1,"Sad":0.06,"Surprise":0.18},,,,""
0.126038,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0.126145,FACE_ATTENTION,,,,,"",,,,""
0.146402,FACE_DETECTOR,,,,,"",1,INIT,,""
0.154985,FACE_EMOTION,,,,,{"Angry":0.27,"Disgust":0.14,"Fear":0.22,"Happy":0,"Neutral":0.1,"Sad":0.06,"Surprise":0.2},,,,""
0.156794,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0.156848,FACE_ATTENTION,,,,,"",,,,""
0.177219,FACE_DETECTOR,,,,,"",1,INIT,,""
0.185121,FACE_EMOTION,,,,,{"Angry":0.28,"Disgust":0.15,"Fear":0.21,"Happy":0,"Neutral":0.09,"Sad":0.05,"Surprise":0.21},,,,""
0.186854,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0.186899,FACE_ATTENTION,,,,,"",,,,""
0.206217,FACE_DETECTOR,,,,,"",1,INIT,,""
0.21363,FACE_EMOTION,,,,,{"Angry":0.27,"Disgust":0.13,"Fear":0.21,"Happy":0,"Neutral":0.08,"Sad":0.05,"Surprise":0.25},,,,""
0.215414,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0.215458,FACE_ATTENTION,,,,,"",,,,""
0.234884,FACE_DETECTOR,,,,,"",1,INIT,,""
0.241583,FACE_EMOTION,,,,,{"Angry":0.26,"Disgust":0.13,"Fear":0.21,"Happy":0,"Neutral":0.08,"Sad":0.04,"Surprise":0.28},,,,""
0.243528,FACE_AROUSAL_VALENCE,,,-0.75,-0.23,"",,,,""
0.243608,FACE_ATTENTION,,,,,"",,,,""
0.26262,FACE_DETECTOR,,,,,"",1,INIT,,""
