mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.2,"Disgust":0.07,"Fear":0.16,"Happy":0.03,"Neutral":0.23,"Sad":0.22,"Surprise":0.09},,,,""
0,FACE_AROUSAL_VALENCE,,,0.4,-0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.38,"Disgust":0.11,"Fear":0.04,"Happy":0.06,"Neutral":0.19,"Sad":0.21,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.21,-0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.35,"Disgust":0.11,"Fear":0.06,"Happy":0.05,"Neutral":0.19,"Sad":0.22,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,0.23,-0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.34,"Disgust":0.11,"Fear":0.07,"Happy":0.04,"Neutral":0.19,"Sad":0.22,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,0.25,-0.42,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.34,"Disgust":0.1,"Fear":0.08,"Happy":0.04,"Neutral":0.2,"Sad":0.21,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,0.25,-0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.34,"Disgust":0.1,"Fear":0.08,"Happy":0.03,"Neutral":0.2,"Sad":0.21,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,0.27,-0.42,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.31,"Disgust":0.1,"Fear":0.08,"Happy":0.03,"Neutral":0.2,"Sad":0.25,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.28,-0.42,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.3,"Disgust":0.1,"Fear":0.08,"Happy":0.02,"Neutral":0.21,"Sad":0.25,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.28,-0.42,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.29,"Disgust":0.1,"Fear":0.07,"Happy":0.02,"Neutral":0.2,"Sad":0.27,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.28,-0.43,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.27,"Disgust":0.11,"Fear":0.08,"Happy":0.02,"Neutral":0.2,"Sad":0.28,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.28,-0.43,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.24,"Disgust":0.1,"Fear":0.1,"Happy":0.02,"Neutral":0.2,"Sad":0.26,"Surprise":0.08},,,,""
0,FACE_AROUSAL_VALENCE,,,0.28,-0.43,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.24,"Disgust":0.1,"Fear":0.1,"Happy":0.02,"Neutral":0.2,"Sad":0.26,"Surprise":0.08},,,,""
0,FACE_AROUSAL_VALENCE,,,0.27,-0.43,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.2,"Disgust":0.08,"Fear":0.1,"Happy":0.02,"Neutral":0.24,"Sad":0.27,"Surprise":0.09},,,,""
0,FACE_AROUSAL_VALENCE,,,0.26,-0.43,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.2,"Disgust":0.07,"Fear":0.1,"Happy":0.01,"Neutral":0.27,"Sad":0.24,"Surprise":0.1},,,,""
0,FACE_AROUSAL_VALENCE,,,0.26,-0.43,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.18,"Disgust":0.06,"Fear":0.09,"Happy":0.01,"Neutral":0.32,"Sad":0.24,"Surprise":0.09},,,,""
0,FACE_AROUSAL_VALENCE,,,0.25,-0.42,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.19,"Disgust":0.05,"Fear":0.09,"Happy":0.01,"Neutral":0.32,"Sad":0.23,"Surprise":0.1},,,,""
0,FACE_AROUSAL_VALENCE,,,0.25,-0.42,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.17,"Disgust":0.04,"Fear":0.1,"Happy":0.01,"Neutral":0.33,"Sad":0.26,"Surprise":0.1},,,,""
0,FACE_AROUSAL_VALENCE,,,0.23,-0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.18,"Disgust":0.05,"Fear":0.12,"Happy":0.01,"Neutral":0.29,"Sad":0.21,"Surprise":0.14},,,,""
0,FACE_AROUSAL_VALENCE,,,0.23,-0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.18,"Disgust":0.06,"Fear":0.12,"Happy":0.01,"Neutral":0.26,"Sad":0.22,"Surprise":0.15},,,,""
0,FACE_AROUSAL_VALENCE,,,0.22,-0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.19,"Disgust":0.08,"Fear":0.15,"Happy":0.01,"Neutral":0.24,"Sad":0.19,"Surprise":0.15},,,,""
0,FACE_AROUSAL_VALENCE,,,0.22,-0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.19,"Disgust":0.09,"Fear":0.16,"Happy":0.01,"Neutral":0.23,"Sad":0.18,"Surprise":0.15},,,,""
0,FACE_AROUSAL_VALENCE,,,0.23,-0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.21,"Disgust":0.09,"Fear":0.14,"Happy":0.02,"Neutral":0.23,"Sad":0.19,"Surprise":0.13},,,,""
0,FACE_AROUSAL_VALENCE,,,0.22,-0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
