mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
,GEO_INFO,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0.01,"Fear":0,"Happy":0.08,"Neutral":0.67,"Sad":0.17,"Surprise":0.06},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.51,0.44,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_EMOTION,,Happy,,,{"Angry":0,"Disgust":0,"Fear":0,"Happy":0.41,"Neutral":0.33,"Sad":0.1,"Surprise":0.16},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.58,0.7,"",,,,""
0,FACE_ATTENTION,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0,"Fear":0.01,"Happy":0.26,"Neutral":0.34,"Sad":0.08,"Surprise":0.32},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.56,0.69,"",,,,""
0,FACE_ATTENTION,0.01,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0,"Fear":0.01,"Happy":0.21,"Neutral":0.36,"Sad":0.1,"Surprise":0.31},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.56,0.67,"",,,,""
0,FACE_ATTENTION,0.01,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0,"Disgust":0,"Fear":0.01,"Happy":0.15,"Neutral":0.33,"Sad":0.11,"Surprise":0.39},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.56,0.66,"",,,,""
0,FACE_ATTENTION,0.01,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0,"Disgust":0,"Fear":0.01,"Happy":0.14,"Neutral":0.35,"Sad":0.14,"Surprise":0.36},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.57,0.65,"",,,,""
0,FACE_ATTENTION,0.01,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0.01,"Fear":0.01,"Happy":0.27,"Neutral":0.32,"Sad":0.13,"Surprise":0.25},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.56,0.65,"",,,,""
0,FACE_ATTENTION,0.01,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0.01,"Fear":0.01,"Happy":0.26,"Neutral":0.37,"Sad":0.15,"Surprise":0.21},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.56,0.65,"",,,,""
0,FACE_ATTENTION,0.02,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0.01,"Fear":0.01,"Happy":0.27,"Neutral":0.34,"Sad":0.14,"Surprise":0.22},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.56,0.65,"",,,,""
0,FACE_ATTENTION,0.02,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0.01,"Fear":0.01,"Happy":0.28,"Neutral":0.31,"Sad":0.13,"Surprise":0.25},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.56,0.65,"",,,,""
0,FACE_ATTENTION,0.02,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0.01,"Fear":0.01,"Happy":0.24,"Neutral":0.34,"Sad":0.13,"Surprise":0.26},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.55,0.66,"",,,,""
0,FACE_ATTENTION,0.02,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0.01,"Fear":0.01,"Happy":0.2,"Neutral":0.34,"Sad":0.12,"Surprise":0.31},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.55,0.65,"",,,,""
0,FACE_ATTENTION,0.03,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0,"Fear":0.02,"Happy":0.2,"Neutral":0.34,"Sad":0.12,"Surprise":0.32},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.54,0.66,"",,,,""
0,FACE_ATTENTION,0.04,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0,"Disgust":0,"Fear":0.02,"Happy":0.2,"Neutral":0.35,"Sad":0.11,"Surprise":0.32},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.53,0.67,"",,,,""
0,FACE_ATTENTION,0.04,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0,"Disgust":0,"Fear":0.02,"Happy":0.2,"Neutral":0.32,"Sad":0.11,"Surprise":0.35},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.52,0.67,"",,,,""
0,FACE_ATTENTION,0.05,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Surprise,,,{"Angry":0,"Disgust":0,"Fear":0.02,"Happy":0.18,"Neutral":0.32,"Sad":0.11,"Surprise":0.37},,,,""
