mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.1,"Disgust":0.03,"Fear":0.05,"Happy":0.01,"Neutral":0.4,"Sad":0.41,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.24,-0.44,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.09,"Disgust":0.05,"Fear":0.11,"Happy":0.02,"Neutral":0.27,"Sad":0.45,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.23,-0.44,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.11,"Disgust":0.05,"Fear":0.09,"Happy":0.02,"Neutral":0.26,"Sad":0.47,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.25,-0.44,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.1,"Disgust":0.05,"Fear":0.06,"Happy":0.01,"Neutral":0.3,"Sad":0.47,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.27,-0.45,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.09,"Disgust":0.05,"Fear":0.04,"Happy":0.01,"Neutral":0.36,"Sad":0.44,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.29,-0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.1,"Disgust":0.07,"Fear":0.04,"Happy":0.01,"Neutral":0.31,"Sad":0.46,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.28,-0.45,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.11,"Disgust":0.06,"Fear":0.04,"Happy":0.01,"Neutral":0.38,"Sad":0.39,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.31,-0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.08,"Disgust":0.07,"Fear":0.05,"Happy":0.01,"Neutral":0.35,"Sad":0.44,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.3,-0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.06,"Disgust":0.05,"Fear":0.04,"Happy":0.01,"Neutral":0.34,"Sad":0.49,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.28,-0.44,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.06,"Disgust":0.04,"Fear":0.03,"Happy":0.01,"Neutral":0.41,"Sad":0.45,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.28,-0.44,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.09,"Disgust":0.03,"Fear":0.03,"Happy":0.01,"Neutral":0.38,"Sad":0.45,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.28,-0.45,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.1,"Disgust":0.03,"Fear":0.02,"Happy":0,"Neutral":0.41,"Sad":0.43,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.29,-0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.13,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.44,"Sad":0.38,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.31,-0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.18,"Disgust":0.04,"Fear":0.02,"Happy":0.01,"Neutral":0.35,"Sad":0.39,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.32,-0.47,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.22,"Disgust":0.04,"Fear":0.02,"Happy":0,"Neutral":0.33,"Sad":0.37,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.33,-0.48,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.21,"Disgust":0.08,"Fear":0.04,"Happy":0.01,"Neutral":0.3,"Sad":0.35,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.32,-0.47,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.19,"Disgust":0.05,"Fear":0.03,"Happy":0.01,"Neutral":0.33,"Sad":0.38,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.32,-0.47,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.15,"Disgust":0.03,"Fear":0.02,"Happy":0,"Neutral":0.4,"Sad":0.39,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.31,-0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.16,"Disgust":0.04,"Fear":0.02,"Happy":0.01,"Neutral":0.38,"Sad":0.39,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.31,-0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.16,"Disgust":0.03,"Fear":0.02,"Happy":0.01,"Neutral":0.36,"Sad":0.42,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.31,-0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.16,"Disgust":0.03,"Fear":0.02,"Happy":0,"Neutral":0.41,"Sad":0.37,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.3,-0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.16,"Disgust":0.03,"Fear":0.02,"Happy":0,"Neutral":0.41,"Sad":0.37,"Surprise":0.01},,,,""
