mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
,GEO_INFO,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.08,"Disgust":0.17,"Fear":0.07,"Happy":0.01,"Neutral":0.3,"Sad":0.38,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.47,-0.44,"",,,,""
0,FACE_ATTENTION,0.26,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.13,"Disgust":0.11,"Fear":0.28,"Happy":0.02,"Neutral":0.19,"Sad":0.26,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.27,-0.46,"",,,,""
0,FACE_ATTENTION,0.83,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.19,"Disgust":0.08,"Fear":0.18,"Happy":0.01,"Neutral":0.46,"Sad":0.07,"Surprise":0.02},,,,""
0,FACE_AROUSAL_VALENCE,,,0.52,-0.54,"",,,,""
0,FACE_ATTENTION,0.92,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Fear,,,{"Angry":0.06,"Disgust":0.05,"Fear":0.45,"Happy":0.03,"Neutral":0.21,"Sad":0.2,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.49,-0.47,"",,,,""
0,FACE_ATTENTION,0.96,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.14,"Disgust":0.07,"Fear":0.33,"Happy":0.01,"Neutral":0.35,"Sad":0.1,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.52,-0.51,"",,,,""
0,FACE_ATTENTION,0.98,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.12,"Disgust":0.03,"Fear":0.21,"Happy":0.02,"Neutral":0.55,"Sad":0.07,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.49,-0.49,"",,,,""
0,FACE_ATTENTION,0.99,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Sad,,,{"Angry":0.14,"Disgust":0.23,"Fear":0.02,"Happy":0.03,"Neutral":0.1,"Sad":0.48,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.29,-0.44,"",,,,""
0,FACE_ATTENTION,0.83,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.1,"Disgust":0.21,"Fear":0.13,"Happy":0.01,"Neutral":0.28,"Sad":0.27,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.12,-0.46,"",,,,""
0,FACE_ATTENTION,0.91,,,,"",,,,""
0,DATA_AGGREGATOR,,,,,"",,,,""
0.022946,FACE_DETECTOR,,,,,"",1,INIT,,""
0.129795,FACE_EMOTION,,Sad,,,{"Angry":0.13,"Disgust":0.17,"Fear":0.03,"Happy":0.02,"Neutral":0.2,"Sad":0.45,"Surprise":0},,,,""
0.16275,FACE_AROUSAL_VALENCE,,,0.31,-0.46,"",,,,""
0.163895,FACE_ATTENTION,0.95,,,,"",,,,""
0.446121,FACE_DETECTOR,,,,,"",1,INIT,,""
0.57146,FACE_EMOTION,,Neutral,,,{"Angry":0.12,"Disgust":0.06,"Fear":0.15,"Happy":0.01,"Neutral":0.5,"Sad":0.14,"Surprise":0.01},,,,""
0.620413,FACE_AROUSAL_VALENCE,,,0.46,-0.48,"",,,,""
0.621811,FACE_ATTENTION,0.98,,,,"",,,,""
0.630318,DATA_AGGREGATOR,,,,,"",,,,""
0.865259,FACE_DETECTOR,,,,,"",1,INIT,,""
1.030015,FACE_EMOTION,,Neutral,,,{"Angry":0.13,"Disgust":0.04,"Fear":0.24,"Happy":0.03,"Neutral":0.51,"Sad":0.05,"Surprise":0.01},,,,""
1.055997,FACE_AROUSAL_VALENCE,,,0.54,-0.51,"",,,,""
1.05817,FACE_ATTENTION,0.99,,,,"",,,,""
1.320964,FACE_DETECTOR,,,,,"",1,INIT,,""
1.50853,FACE_EMOTION,,Neutral,,,{"Angry":0.11,"Disgust":0.14,"Fear":0.24,"Happy":0.01,"Neutral":0.37,"Sad":0.11,"Surprise":0.01},,,,""
1.538276,FACE_AROUSAL_VALENCE,,,0.52,-0.55,"",,,,""
1.539345,FACE_ATTENTION,1,,,,"",,,,""
1.552734,DATA_AGGREGATOR,,,,,"",,,,""
1.825362,FACE_DETECTOR,,,,,"",1,INIT,,""
1.976041,FACE_EMOTION,,Disgust,,,{"Angry":0.2,"Disgust":0.31,"Fear":0.03,"Happy":0.06,"Neutral":0.19,"Sad":0.2,"Surprise":0},,,,""
2.005244,FACE_AROUSAL_VALENCE,,,0.38,-0.52,"",,,,""
2.007196,FACE_ATTENTION,1,,,,"",,,,""
2.254462,FACE_DETECTOR,,,,,"",1,INIT,,""
2.375966,FACE_EMOTION,,,,,{"Angry":0.14,"Disgust":0.29,"Fear":0.05,"Happy":0.03,"Neutral":0.27,"Sad":0.23,"Surprise":0},,,,""
2.396026,FACE_AROUSAL_VALENCE,,,0.4,-0.5,"",,,,""
2.408778,FACE_ATTENTION,1,,,,"",,,,""
2.60965,FACE_DETECTOR,,,,,"",1,INIT,,""
2.740638,FACE_EMOTION,,Disgust,,,{"Angry":0.14,"Disgust":0.31,"Fear":0.06,"Happy":0.03,"Neutral":0.25,"Sad":0.21,"Surprise":0},,,,""
2.771599,FACE_AROUSAL_VALENCE,,,0.41,-0.52,"",,,,""
2.773008,FACE_ATTENTION,1,,,,"",,,,""
2.779219,DATA_AGGREGATOR,,,,,"",,,,""
2.990458,FACE_DETECTOR,,,,,"",1,INIT,,""
3.123295,FACE_EMOTION,,,,,{"Angry":0.18,"Disgust":0.16,"Fear":0.21,"Happy":0.03,"Neutral":0.26,"Sad":0.14,"Surprise":0.01},,,,""
3.142592,FACE_AROUSAL_VALENCE,,,0.44,-0.52,"",,,,""
3.143865,FACE_ATTENTION,1,,,,"",,,,""
3.351021,FACE_DETECTOR,,,,,"",1,INIT,,""
3.472138,ALARM_NO_FACE,,,,,"",,,true,""
3.486098,FACE_EMOTION,,,,,{"Angry":0.2,"Disgust":0.19,"Fear":0.08,"Happy":0.06,"Neutral":0.24,"Sad":0.23,"Surprise":0},,,,""
3.511189,FACE_AROUSAL_VALENCE,,,0.44,-0.52,"",,,,""
3.513207,FACE_ATTENTION,1,,,,"",,,,""
3.527631,DATA_AGGREGATOR,,,,,"",,,,""
3.731716,FACE_DETECTOR,,,,,"",1,INIT,,""
3.873584,ALARM_NO_FACE,,,,,"",,,true,""
3.881788,FACE_EMOTION,,Neutral,,,{"Angry":0.21,"Disgust":0.09,"Fear":0.17,"Happy":0.02,"Neutral":0.4,"Sad":0.09,"Surprise":0.02},,,,""
3.899731,FACE_AROUSAL_VALENCE,,,0.48,-0.51,"",,,,""
3.902579,FACE_ATTENTION,1,,,,"",,,,""
3.910585,FACE_DETECTOR,,,,,"",1,INIT,,""
3.910585,ALARM_NO_FACE,,,,,"",,,true,""
3.910585,FACE_EMOTION,,Neutral,,,{"Angry":0.11,"Disgust":0.09,"Fear":0.12,"Happy":0.08,"Neutral":0.37,"Sad":0.22,"Surprise":0},,,,""
3.910585,FACE_AROUSAL_VALENCE,,,0.35,-0.38,"",,,,""
3.910585,FACE_ATTENTION,1,,,,"",,,,""
3.910585,FACE_DETECTOR,,,,,"",1,INIT,,""
3.910585,ALARM_NO_FACE,,,,,"",,,true,""
3.910585,FACE_EMOTION,,Neutral,,,{"Angry":0.19,"Disgust":0.05,"Fear":0.22,"Happy":0.02,"Neutral":0.43,"Sad":0.06,"Surprise":0.02},,,,""
3.910585,FACE_AROUSAL_VALENCE,,,0.54,-0.48,"",,,,""
3.910585,FACE_ATTENTION,1,,,,"",,,,""
3.910585,DATA_AGGREGATOR,,,,,"",,,,""
3.910585,FACE_DETECTOR,,,,,"",1,INIT,,""
3.910585,ALARM_NO_FACE,,,,,"",,,true,""
3.910585,FACE_EMOTION,,Neutral,,,{"Angry":0.24,"Disgust":0.13,"Fear":0.07,"Happy":0.03,"Neutral":0.4,"Sad":0.13,"Surprise":0.01},,,,""
3.910585,FACE_AROUSAL_VALENCE,,,0.54,-0.54,"",,,,""
3.910585,FACE_ATTENTION,1,,,,"",,,,""
4.230059,FACE_DETECTOR,,,,,"",1,INIT,,""
4.376298,ALARM_NO_FACE,,,,,"",,,true,""
4.394009,FACE_EMOTION,,Neutral,,,{"Angry":0.15,"Disgust":0.09,"Fear":0.26,"Happy":0.03,"Neutral":0.36,"Sad":0.09,"Surprise":0.02},,,,""
