mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
,GEO_INFO,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.12,"Disgust":0.04,"Fear":0.02,"Happy":0.01,"Neutral":0.53,"Sad":0.26,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.33,"",,,,""
0,FACE_ATTENTION,0.82,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.03,"Fear":0.02,"Happy":0.01,"Neutral":0.62,"Sad":0.22,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.33,"",,,,""
0,FACE_ATTENTION,0.82,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.08,"Disgust":0.03,"Fear":0.02,"Happy":0.01,"Neutral":0.65,"Sad":0.2,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.32,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.07,"Disgust":0.03,"Fear":0.03,"Happy":0.01,"Neutral":0.67,"Sad":0.19,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.32,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.08,"Disgust":0.03,"Fear":0.02,"Happy":0.01,"Neutral":0.67,"Sad":0.19,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.32,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.08,"Disgust":0.03,"Fear":0.02,"Happy":0.01,"Neutral":0.67,"Sad":0.19,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.32,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.08,"Disgust":0.03,"Fear":0.02,"Happy":0.01,"Neutral":0.67,"Sad":0.19,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.32,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.08,"Disgust":0.03,"Fear":0.02,"Happy":0.01,"Neutral":0.66,"Sad":0.19,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.32,"",,,,""
0,FACE_ATTENTION,0.82,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.03,"Fear":0.02,"Happy":0,"Neutral":0.65,"Sad":0.2,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.31,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.03,"Fear":0.02,"Happy":0,"Neutral":0.65,"Sad":0.2,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.31,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.03,"Fear":0.02,"Happy":0,"Neutral":0.64,"Sad":0.21,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.31,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.64,"Sad":0.22,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.31,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.08,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.63,"Sad":0.23,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.31,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.61,"Sad":0.25,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.29,-0.31,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.59,"Sad":0.27,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.3,-0.3,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.59,"Sad":0.27,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.3,-0.3,"",,,,""
0,FACE_ATTENTION,0.81,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.58,"Sad":0.26,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.31,-0.3,"",,,,""
0,FACE_ATTENTION,0.8,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.59,"Sad":0.26,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.31,-0.3,"",,,,""
0,FACE_ATTENTION,0.8,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.6,"Sad":0.26,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.32,-0.3,"",,,,""
0,FACE_ATTENTION,0.8,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.6,"Sad":0.26,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.33,-0.3,"",,,,""
0,FACE_ATTENTION,0.79,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.1,"Disgust":0.02,"Fear":0.02,"Happy":0,"Neutral":0.58,"Sad":0.27,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.33,-0.3,"",,,,""
0,FACE_ATTENTION,0.79,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.11,"Disgust":0.03,"Fear":0.02,"Happy":0,"Neutral":0.56,"Sad":0.28,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.34,-0.3,"",,,,""
0,FACE_ATTENTION,0.78,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.1,"Disgust":0.03,"Fear":0.02,"Happy":0.01,"Neutral":0.56,"Sad":0.27,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.34,-0.3,"",,,,""
0,FACE_ATTENTION,0.77,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.03,"Fear":0.02,"Happy":0.01,"Neutral":0.57,"Sad":0.27,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.35,-0.3,"",,,,""
0,FACE_ATTENTION,0.77,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
