mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
,GEO_INFO,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.26,"Disgust":0.02,"Fear":0.13,"Happy":0.03,"Neutral":0.45,"Sad":0.05,"Surprise":0.07},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.21,-0.34,"",,,,""
0,FACE_ATTENTION,0.98,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.32,"Disgust":0.01,"Fear":0.15,"Happy":0.03,"Neutral":0.37,"Sad":0.05,"Surprise":0.07},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.22,-0.32,"",,,,""
0,FACE_ATTENTION,0.98,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.33,"Disgust":0.01,"Fear":0.16,"Happy":0.03,"Neutral":0.35,"Sad":0.05,"Surprise":0.07},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.21,-0.32,"",,,,""
0,FACE_ATTENTION,0.98,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.36,"Disgust":0.01,"Fear":0.16,"Happy":0.03,"Neutral":0.32,"Sad":0.05,"Surprise":0.07},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.21,-0.32,"",,,,""
0,FACE_ATTENTION,0.98,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.35,"Disgust":0.01,"Fear":0.14,"Happy":0.03,"Neutral":0.33,"Sad":0.05,"Surprise":0.09},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.21,-0.32,"",,,,""
0,FACE_ATTENTION,0.98,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.35,"Disgust":0.01,"Fear":0.13,"Happy":0.02,"Neutral":0.33,"Sad":0.06,"Surprise":0.09},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.2,-0.32,"",,,,""
0,FACE_ATTENTION,0.98,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.36,"Disgust":0.01,"Fear":0.12,"Happy":0.02,"Neutral":0.33,"Sad":0.06,"Surprise":0.1},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.2,-0.32,"",,,,""
0,FACE_ATTENTION,0.98,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.34,"Disgust":0.01,"Fear":0.1,"Happy":0.02,"Neutral":0.36,"Sad":0.06,"Surprise":0.1},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.19,-0.32,"",,,,""
0,FACE_ATTENTION,0.98,,,,"",,,,""
0.014631,FACE_DETECTOR,,,,,"",1,INIT,,""
0.037834,FACE_EMOTION,,Neutral,,,{"Angry":0.35,"Disgust":0.01,"Fear":0.11,"Happy":0.02,"Neutral":0.35,"Sad":0.06,"Surprise":0.1},,,,""
0.040754,FACE_AROUSAL_VALENCE,,,-0.19,-0.33,"",,,,""
0.040874,FACE_ATTENTION,0.98,,,,"",,,,""
0.095361,FACE_DETECTOR,,,,,"",1,INIT,,""
0.101682,FACE_EMOTION,,Neutral,,,{"Angry":0.34,"Disgust":0.01,"Fear":0.13,"Happy":0.03,"Neutral":0.36,"Sad":0.05,"Surprise":0.07},,,,""
0.103624,FACE_AROUSAL_VALENCE,,,-0.16,-0.34,"",,,,""
0.103728,FACE_ATTENTION,0.99,,,,"",,,,""
0.127268,FACE_DETECTOR,,,,,"",1,INIT,,""
0.137716,FACE_EMOTION,,Neutral,,,{"Angry":0.35,"Disgust":0.01,"Fear":0.12,"Happy":0.03,"Neutral":0.36,"Sad":0.06,"Surprise":0.07},,,,""
0.141272,FACE_AROUSAL_VALENCE,,,-0.16,-0.35,"",,,,""
0.141354,FACE_ATTENTION,0.99,,,,"",,,,""
0.165322,FACE_DETECTOR,,,,,"",1,INIT,,""
0.179435,FACE_EMOTION,,Neutral,,,{"Angry":0.34,"Disgust":0.01,"Fear":0.12,"Happy":0.03,"Neutral":0.37,"Sad":0.06,"Surprise":0.07},,,,""
0.181373,FACE_AROUSAL_VALENCE,,,-0.16,-0.35,"",,,,""
0.181455,FACE_ATTENTION,0.99,,,,"",,,,""
0.206084,FACE_DETECTOR,,,,,"",1,INIT,,""
0.213174,FACE_EMOTION,,Angry,,,{"Angry":0.39,"Disgust":0.01,"Fear":0.1,"Happy":0.03,"Neutral":0.35,"Sad":0.05,"Surprise":0.07},,,,""
0.215149,FACE_AROUSAL_VALENCE,,,-0.17,-0.36,"",,,,""
0.215227,FACE_ATTENTION,0.99,,,,"",,,,""
0.237811,FACE_DETECTOR,,,,,"",1,INIT,,""
0.24455,FACE_EMOTION,,Angry,,,{"Angry":0.36,"Disgust":0.01,"Fear":0.1,"Happy":0.03,"Neutral":0.35,"Sad":0.05,"Surprise":0.1},,,,""
0.246202,FACE_AROUSAL_VALENCE,,,-0.18,-0.36,"",,,,""
0.246278,FACE_ATTENTION,0.98,,,,"",,,,""
0.270721,FACE_DETECTOR,,,,,"",1,INIT,,""
0.278785,FACE_EMOTION,,Angry,,,{"Angry":0.36,"Disgust":0.02,"Fear":0.09,"Happy":0.03,"Neutral":0.36,"Sad":0.05,"Surprise":0.1},,,,""
0.280398,FACE_AROUSAL_VALENCE,,,-0.18,-0.37,"",,,,""
0.280468,FACE_ATTENTION,0.98,,,,"",,,,""
0.303361,FACE_DETECTOR,,,,,"",1,INIT,,""
0.309527,FACE_EMOTION,,Angry,,,{"Angry":0.38,"Disgust":0.02,"Fear":0.08,"Happy":0.02,"Neutral":0.34,"Sad":0.04,"Surprise":0.12},,,,""
0.311082,FACE_AROUSAL_VALENCE,,,-0.18,-0.38,"",,,,""
0.311236,FACE_ATTENTION,0.98,,,,"",,,,""
0.334553,FACE_DETECTOR,,,,,"",1,INIT,,""
0.340167,FACE_EMOTION,,Neutral,,,{"Angry":0.34,"Disgust":0.02,"Fear":0.07,"Happy":0.03,"Neutral":0.38,"Sad":0.04,"Surprise":0.12},,,,""
0.341856,FACE_AROUSAL_VALENCE,,,-0.19,-0.38,"",,,,""
0.341928,FACE_ATTENTION,0.98,,,,"",,,,""
0.364556,FACE_DETECTOR,,,,,"",1,INIT,,""
0.371419,FACE_EMOTION,,Neutral,,,{"Angry":0.34,"Disgust":0.02,"Fear":0.07,"Happy":0.02,"Neutral":0.37,"Sad":0.04,"Surprise":0.13},,,,""
0.373073,FACE_AROUSAL_VALENCE,,,-0.19,-0.38,"",,,,""
0.373149,FACE_ATTENTION,0.98,,,,"",,,,""
0.395556,FACE_DETECTOR,,,,,"",1,INIT,,""
0.401259,FACE_EMOTION,,Angry,,,{"Angry":0.36,"Disgust":0.02,"Fear":0.07,"Happy":0.02,"Neutral":0.35,"Sad":0.04,"Surprise":0.14},,,,""
0.402931,FACE_AROUSAL_VALENCE,,,-0.19,-0.38,"",,,,""
0.402997,FACE_ATTENTION,0.98,,,,"",,,,""
0.425277,FACE_DETECTOR,,,,,"",1,INIT,,""
0.432595,FACE_EMOTION,,Neutral,,,{"Angry":0.35,"Disgust":0.02,"Fear":0.07,"Happy":0.02,"Neutral":0.36,"Sad":0.04,"Surprise":0.14},,,,""
0.435223,FACE_AROUSAL_VALENCE,,,-0.2,-0.38,"",,,,""
0.435296,FACE_ATTENTION,0.98,,,,"",,,,""
0.458365,FACE_DETECTOR,,,,,"",1,INIT,,""
0.464835,FACE_EMOTION,,Neutral,,,{"Angry":0.34,"Disgust":0.02,"Fear":0.07,"Happy":0.02,"Neutral":0.36,"Sad":0.04,"Surprise":0.15},,,,""
0.466333,FACE_AROUSAL_VALENCE,,,-0.19,-0.39,"",,,,""
0.466394,FACE_ATTENTION,0.98,,,,"",,,,""
0.492843,FACE_DETECTOR,,,,,"",1,INIT,,""
0.500904,FACE_EMOTION,,Neutral,,,{"Angry":0.32,"Disgust":0.02,"Fear":0.06,"Happy":0.02,"Neutral":0.4,"Sad":0.04,"Surprise":0.14},,,,""
0.506357,FACE_AROUSAL_VALENCE,,,-0.2,-0.38,"",,,,""
0.506452,FACE_ATTENTION,0.98,,,,"",,,,""
0.533261,FACE_DETECTOR,,,,,"",1,INIT,,""
0.540638,FACE_EMOTION,,Neutral,,,{"Angry":0.28,"Disgust":0.02,"Fear":0.05,"Happy":0.02,"Neutral":0.46,"Sad":0.04,"Surprise":0.13},,,,""
0.542338,FACE_AROUSAL_VALENCE,,,-0.19,-0.39,"",,,,""
0.542428,FACE_ATTENTION,0.98,,,,"",,,,""
