mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
,GEO_INFO,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Happy,,,{"Angry":0,"Disgust":0,"Fear":0,"Happy":0.97,"Neutral":0.03,"Sad":0,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.49,0.69,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Happy,,,{"Angry":0.15,"Disgust":0,"Fear":0.02,"Happy":0.49,"Neutral":0.28,"Sad":0.06,"Surprise":0},,,,""
0,FACE_AROUSAL_VALENCE,,,0.47,0.61,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.12,"Disgust":0,"Fear":0.01,"Happy":0.33,"Neutral":0.48,"Sad":0.05,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.45,0.55,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.11,"Disgust":0,"Fear":0.01,"Happy":0.27,"Neutral":0.54,"Sad":0.04,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.44,0.53,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.1,"Disgust":0,"Fear":0.01,"Happy":0.21,"Neutral":0.6,"Sad":0.05,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,0.42,0.5,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.08,"Disgust":0,"Fear":0.01,"Happy":0.15,"Neutral":0.66,"Sad":0.05,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.41,0.47,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.12,"Disgust":0,"Fear":0.01,"Happy":0.12,"Neutral":0.65,"Sad":0.07,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.4,0.45,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0,"Fear":0.01,"Happy":0.09,"Neutral":0.69,"Sad":0.08,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,0.39,0.42,"",,,,""
0,FACE_ATTENTION,0.99,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.13,"Disgust":0,"Fear":0.01,"Happy":0.07,"Neutral":0.68,"Sad":0.08,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.38,0.39,"",,,,""
0,FACE_ATTENTION,0.99,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.16,"Disgust":0,"Fear":0.01,"Happy":0.05,"Neutral":0.66,"Sad":0.08,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.36,0.37,"",,,,""
0,FACE_ATTENTION,0.99,,,,"",,,,""
0.021559,FACE_DETECTOR,,,,,"",1,INIT,,""
0.021559,FACE_EMOTION,,Neutral,,,{"Angry":0.16,"Disgust":0,"Fear":0.01,"Happy":0.02,"Neutral":0.65,"Sad":0.09,"Surprise":0.07},,,,""
0.021559,FACE_AROUSAL_VALENCE,,,0.36,0.28,"",,,,""
0.021559,FACE_ATTENTION,0.99,,,,"",,,,""
0.039173,FACE_DETECTOR,,,,,"",1,INIT,,""
0.044723,FACE_EMOTION,,Neutral,,,{"Angry":0.14,"Disgust":0,"Fear":0.01,"Happy":0.01,"Neutral":0.54,"Sad":0.25,"Surprise":0.05},,,,""
0.046319,FACE_AROUSAL_VALENCE,,,0.35,0.22,"",,,,""
0.04642,FACE_ATTENTION,1,,,,"",,,,""
0.066619,FACE_DETECTOR,,,,,"",1,INIT,,""
0.072494,FACE_EMOTION,,Neutral,,,{"Angry":0.14,"Disgust":0,"Fear":0.01,"Happy":0.01,"Neutral":0.58,"Sad":0.21,"Surprise":0.04},,,,""
0.074773,FACE_AROUSAL_VALENCE,,,0.34,0.19,"",,,,""
0.074854,FACE_ATTENTION,1,,,,"",,,,""
0.095537,FACE_DETECTOR,,,,,"",1,INIT,,""
0.100917,FACE_EMOTION,,Neutral,,,{"Angry":0.14,"Disgust":0,"Fear":0.01,"Happy":0.01,"Neutral":0.62,"Sad":0.19,"Surprise":0.03},,,,""
0.102621,FACE_AROUSAL_VALENCE,,,0.34,0.16,"",,,,""
0.102728,FACE_ATTENTION,1,,,,"",,,,""
0.123975,FACE_DETECTOR,,,,,"",1,INIT,,""
0.129449,FACE_EMOTION,,Neutral,,,{"Angry":0.12,"Disgust":0,"Fear":0.01,"Happy":0.01,"Neutral":0.65,"Sad":0.17,"Surprise":0.03},,,,""
0.131301,FACE_AROUSAL_VALENCE,,,0.33,0.13,"",,,,""
0.13142,FACE_ATTENTION,0.99,,,,"",,,,""
0.160397,FACE_DETECTOR,,,,,"",1,INIT,,""
0.16554,FACE_EMOTION,,Neutral,,,{"Angry":0.13,"Disgust":0,"Fear":0.01,"Happy":0.01,"Neutral":0.65,"Sad":0.18,"Surprise":0.03},,,,""
0.166939,FACE_AROUSAL_VALENCE,,,0.33,0.1,"",,,,""
0.167003,FACE_ATTENTION,0.99,,,,"",,,,""
0.187836,FACE_DETECTOR,,,,,"",1,INIT,,""
0.194811,FACE_EMOTION,,Neutral,,,{"Angry":0.18,"Disgust":0,"Fear":0.01,"Happy":0,"Neutral":0.6,"Sad":0.15,"Surprise":0.03},,,,""
0.196375,FACE_AROUSAL_VALENCE,,,0.32,0.06,"",,,,""
0.196435,FACE_ATTENTION,0.99,,,,"",,,,""
0.218043,FACE_DETECTOR,,,,,"",1,INIT,,""
0.225429,FACE_EMOTION,,Neutral,,,{"Angry":0.18,"Disgust":0,"Fear":0.01,"Happy":0,"Neutral":0.6,"Sad":0.16,"Surprise":0.03},,,,""
0.227295,FACE_AROUSAL_VALENCE,,,0.32,-0.01,"",,,,""
0.227384,FACE_ATTENTION,1,,,,"",,,,""
0.247677,FACE_DETECTOR,,,,,"",1,INIT,,""
0.253506,FACE_EMOTION,,Neutral,,,{"Angry":0.18,"Disgust":0,"Fear":0.01,"Happy":0.01,"Neutral":0.62,"Sad":0.15,"Surprise":0.03},,,,""
0.256053,FACE_AROUSAL_VALENCE,,,0.31,-0.05,"",,,,""
0.256144,FACE_ATTENTION,1,,,,"",,,,""
0.278218,FACE_DETECTOR,,,,,"",1,INIT,,""
0.286795,FACE_EMOTION,,Neutral,,,{"Angry":0.17,"Disgust":0,"Fear":0.01,"Happy":0,"Neutral":0.64,"Sad":0.15,"Surprise":0.02},,,,""
0.28831,FACE_AROUSAL_VALENCE,,,0.31,-0.08,"",,,,""
0.288394,FACE_ATTENTION,1,,,,"",,,,""
0.311217,FACE_DETECTOR,,,,,"",1,INIT,,""
0.316299,FACE_EMOTION,,Neutral,,,{"Angry":0.15,"Disgust":0,"Fear":0.01,"Happy":0,"Neutral":0.68,"Sad":0.14,"Surprise":0.02},,,,""
0.31822,FACE_AROUSAL_VALENCE,,,0.31,-0.09,"",,,,""
0.318307,FACE_ATTENTION,1,,,,"",,,,""
0.339108,FACE_DETECTOR,,,,,"",1,INIT,,""
0.344823,FACE_EMOTION,,Neutral,,,{"Angry":0.18,"Disgust":0,"Fear":0.01,"Happy":0.01,"Neutral":0.65,"Sad":0.13,"Surprise":0.02},,,,""
0.346789,FACE_AROUSAL_VALENCE,,,0.3,-0.09,"",,,,""
0.346881,FACE_ATTENTION,1,,,,"",,,,""
0.367015,FACE_DETECTOR,,,,,"",1,INIT,,""
0.373022,FACE_EMOTION,,Neutral,,,{"Angry":0.19,"Disgust":0,"Fear":0.02,"Happy":0.01,"Neutral":0.63,"Sad":0.16,"Surprise":0.02},,,,""
0.375318,FACE_AROUSAL_VALENCE,,,0.3,-0.09,"",,,,""
0.375485,FACE_ATTENTION,1,,,,"",,,,""
0.397358,FACE_DETECTOR,,,,,"",1,INIT,,""
0.404185,FACE_EMOTION,,Neutral,,,{"Angry":0.19,"Disgust":0,"Fear":0.03,"Happy":0.01,"Neutral":0.59,"Sad":0.17,"Surprise":0.02},,,,""
0.40605,FACE_AROUSAL_VALENCE,,,0.3,-0.09,"",,,,""
